radar_id,interval_start_time,altitude_band,avg_u_speed,avg_v_speed,avg_bird_density,vertical_integrated_density,number_of_measurements
6260,2013-04-05 10:40:00+00,1,-0.20309,-0.70426,1.17264,1.64170,28
6260,2013-04-05 10:40:00+00,2,0,0,0.00000,0.00000,45
6410,2013-04-05 10:40:00+00,1,0.31126,-0.33934,0.27718,0.38805,28
6410,2013-04-05 10:40:00+00,2,0,0,0.00960,0.02303,47
6451,2013-04-05 10:40:00+00,1,0,0,0.29858,0.41801,4
6477,2013-04-05 10:40:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 10:40:00+00,2,0,0,0.00000,0.00000,8
6234,2013-04-05 11:00:00+00,1,-1.00000,-2.41759,1.95454,2.73636,28
6234,2013-04-05 11:00:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 11:00:00+00,1,0.35759,-0.01097,1.19815,1.67742,28
6260,2013-04-05 11:00:00+00,2,0,0,0.00000,0.00000,45
6410,2013-04-05 11:00:00+00,1,0.17477,-0.01139,0.28252,0.39553,28
6410,2013-04-05 11:00:00+00,2,0,0,0.00711,0.01706,48
6451,2013-04-05 11:00:00+00,1,0,0,0.45246,0.63345,3
6477,2013-04-05 11:00:00+00,1,0,0,0.00000,0.00000,14
6477,2013-04-05 11:00:00+00,2,0,0,0.00000,0.00000,14
6234,2013-04-05 11:20:00+00,1,-1.07363,-3.16233,1.67892,2.35049,28
6234,2013-04-05 11:20:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 11:20:00+00,1,0.23009,0.08793,1.44352,2.02093,28
6260,2013-04-05 11:20:00+00,2,0,0,0.00000,0.00000,46
6410,2013-04-05 11:20:00+00,1,0.29795,-0.17835,0.21192,0.29669,28
6410,2013-04-05 11:20:00+00,2,0,0,0.00560,0.01344,46
6451,2013-04-05 11:20:00+00,1,0,0,0.34731,0.48623,4
6477,2013-04-05 11:20:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 11:20:00+00,2,0,0,0.00000,0.00000,8
6234,2013-04-05 11:40:00+00,1,-1.27627,-3.25361,1.92946,2.70124,28
6234,2013-04-05 11:40:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 11:40:00+00,1,0.04592,0.21656,1.36170,1.90638,27
6260,2013-04-05 11:40:00+00,2,0,0,0.00000,0.00000,43
6410,2013-04-05 11:40:00+00,1,0.02424,-0.00612,0.25243,0.35341,28
6410,2013-04-05 11:40:00+00,2,0,0,0.00000,0.00000,45
6451,2013-04-05 11:40:00+00,1,0,0,0.45888,0.64243,3
6477,2013-04-05 11:40:00+00,1,0,0,0.00000,0.00000,7
6477,2013-04-05 11:40:00+00,2,0,0,0.00000,0.00000,8
6234,2013-04-05 12:00:00+00,1,-1.33910,-3.43187,1.57315,2.20240,28
6234,2013-04-05 12:00:00+00,2,0,0,0.00000,0.00000,48
6260,2013-04-05 12:00:00+00,1,-0.05898,0.41994,2.25975,3.16365,28
6260,2013-04-05 12:00:00+00,2,0,0,0.00000,0.00000,45
